method_a,method_b,query_id,k,judged_count_delta_a_minus_b,judged_fraction_delta_a_minus_b,hole_count_delta_a_minus_b,hole_fraction_delta_a_minus_b
mpnet,direct,44,100,-20,-0.2,20,0.2
mpnet,direct,45,100,-20,-0.2,20,0.2
mpnet,direct,46,100,-31,-0.31,31,0.31
mpnet,direct,47,100,-43,-0.43,43,0.43
mpnet,direct,48,100,-10,-0.1,10,0.1
mpnet,direct,49,100,-50,-0.5,50,0.5
mpnet,direct,50,100,-21,-0.21,21,0.21
mpnet,direct,1,1000,-213,-0.213,213,0.213
mpnet,direct,2,1000,-81,-0.081,81,0.081
mpnet,direct,3,1000,-256,-0.256,256,0.256
mpnet,direct,4,1000,-157,-0.157,157,0.157
mpnet,direct,5,1000,-185,-0.185,185,0.185
mpnet,direct,6,1000,-133,-0.133,133,0.133
mpnet,direct,7,1000,-111,-0.111,111,0.111
mpnet,direct,8,1000,-141,-0.141,141,0.141
mpnet,direct,9,1000,-161,-0.161,161,0.161
mpnet,direct,10,1000,-61,-0.061,61,0.061
mpnet,direct,11,1000,-212,-0.212,212,0.212
mpnet,direct,12,1000,-208,-0.208,208,0.208
mpnet,direct,13,1000,-209,-0.209,209,0.209
mpnet,direct,14,1000,-132,-0.132,132,0.132
mpnet,direct,15,1000,-93,-0.093,93,0.093
mpnet,direct,16,1000,-119,-0.119,119,0.119
mpnet,direct,17,1000,-209,-0.209,209,0.209
mpnet,direct,18,1000,-75,-0.075,75,0.075
mpnet,direct,19,1000,-97,-0.097,97,0.097
mpnet,direct,20,1000,-100,-0.1,100,0.1
mpnet,direct,21,1000,-158,-0.158,158,0.158
mpnet,direct,22,1000,-26,-0.026,26,0.026
mpnet,direct,23,1000,-48,-0.048,48,0.048
mpnet,direct,24,1000,-46,-0.046,46,0.046
mpnet,direct,25,1000,-126,-0.126,126,0.126
mpnet,direct,26,1000,-194,-0.194,194,0.194
mpnet,direct,27,1000,-304,-0.304,304,0.304
mpnet,direct,28,1000,-21,-0.021,21,0.021
mpnet,direct,29,1000,-192,-0.192,192,0.192
mpnet,direct,30,1000,-87,-0.087,87,0.087
mpnet,direct,31,1000,-266,-0.266,266,0.266
mpnet,direct,32,1000,-93,-0.093,93,0.093
mpnet,direct,33,1000,-231,-0.231,231,0.231
mpnet,direct,34,1000,-174,-0.174,174,0.174
mpnet,direct,35,1000,-248,-0.248,248,0.248
mpnet,direct,36,1000,-120,-0.12,120,0.12
mpnet,direct,37,1000,-72,-0.072,72,0.072
mpnet,direct,38,1000,-211,-0.211,211,0.211
mpnet,direct,39,1000,-219,-0.219,219,0.219
mpnet,direct,40,1000,-140,-0.14,140,0.14
mpnet,direct,41,1000,-85,-0.085,85,0.085
mpnet,direct,42,1000,-72,-0.072,72,0.072
mpnet,direct,43,1000,-137,-0.137,137,0.137
mpnet,direct,44,1000,-80,-0.08,80,0.08
mpnet,direct,45,1000,-120,-0.12,120,0.12
mpnet,direct,46,1000,-110,-0.11,110,0.11
mpnet,direct,47,1000,-114,-0.114,114,0.114
mpnet,direct,48,1000,-101,-0.101,101,0.101
mpnet,direct,49,1000,-152,-0.152,152,0.152
mpnet,direct,50,1000,-93,-0.093,93,0.093
