method,baseline,query_id,k,stratum,n_pairs,n_judged,n_unjudged,n_explicit_minus1,n_relevant_strict,n_relevant_relaxed,judged_fraction,hole_fraction,observed_precision_strict,observed_precision_relaxed
direct,bm25,13,1000,shared,744,339,405,0,98,239,0.45564516129,0.54435483871,0.131720430108,0.32123655914
direct,bm25,13,1000,method_only,256,71,185,0,15,57,0.27734375,0.72265625,0.05859375,0.22265625
direct,bm25,13,1000,bm25_only,256,22,234,0,0,7,0.0859375,0.9140625,0,0.02734375
direct,bm25,14,1000,shared,320,183,137,0,45,83,0.571875,0.428125,0.140625,0.259375
direct,bm25,14,1000,method_only,680,43,637,0,3,9,0.0632352941176,0.936764705882,0.00441176470588,0.0132352941176
direct,bm25,14,1000,bm25_only,680,60,620,0,2,7,0.0882352941176,0.911764705882,0.00294117647059,0.0102941176471
direct,bm25,15,1000,shared,418,144,274,0,7,14,0.344497607656,0.655502392344,0.0167464114833,0.0334928229665
direct,bm25,15,1000,method_only,582,65,517,0,18,38,0.111683848797,0.888316151203,0.0309278350515,0.0652920962199
direct,bm25,15,1000,bm25_only,582,85,497,0,0,3,0.146048109966,0.853951890034,0,0.00515463917526
direct,bm25,16,1000,shared,586,250,336,0,53,95,0.42662116041,0.57337883959,0.0904436860068,0.162116040956
direct,bm25,16,1000,method_only,414,117,297,0,39,72,0.282608695652,0.717391304348,0.0942028985507,0.173913043478
direct,bm25,16,1000,bm25_only,414,22,392,0,0,0,0.0531400966184,0.946859903382,0,0
direct,bm25,17,1000,shared,812,401,411,0,144,306,0.493842364532,0.506157635468,0.177339901478,0.37684729064
direct,bm25,17,1000,method_only,188,42,146,0,17,33,0.223404255319,0.776595744681,0.0904255319149,0.175531914894
direct,bm25,17,1000,bm25_only,188,10,178,0,0,1,0.0531914893617,0.946808510638,0,0.00531914893617
direct,bm25,18,1000,shared,819,435,384,0,190,342,0.531135531136,0.468864468864,0.23199023199,0.417582417582
direct,bm25,18,1000,method_only,181,60,121,0,26,47,0.331491712707,0.668508287293,0.14364640884,0.259668508287
direct,bm25,18,1000,bm25_only,181,22,159,0,0,3,0.121546961326,0.878453038674,0,0.0165745856354
direct,bm25,19,1000,shared,598,261,337,0,23,62,0.436454849498,0.563545150502,0.0384615384615,0.103678929766
direct,bm25,19,1000,method_only,402,66,336,0,9,13,0.164179104478,0.835820895522,0.0223880597015,0.0323383084577
direct,bm25,19,1000,bm25_only,402,26,376,0,0,0,0.0646766169154,0.935323383085,0,0
direct,bm25,20,1000,shared,840,475,365,0,312,399,0.565476190476,0.434523809524,0.371428571429,0.475
direct,bm25,20,1000,method_only,160,37,123,0,33,36,0.23125,0.76875,0.20625,0.225
direct,bm25,20,1000,bm25_only,160,31,129,0,1,16,0.19375,0.80625,0.00625,0.1
direct,bm25,21,1000,shared,688,314,374,0,169,186,0.456395348837,0.543604651163,0.245639534884,0.270348837209
direct,bm25,21,1000,method_only,312,119,193,0,86,98,0.38141025641,0.61858974359,0.275641025641,0.314102564103
direct,bm25,21,1000,bm25_only,312,18,294,0,3,4,0.0576923076923,0.942307692308,0.00961538461538,0.0128205128205
direct,bm25,22,1000,shared,785,292,493,0,186,254,0.371974522293,0.628025477707,0.236942675159,0.323566878981
direct,bm25,22,1000,method_only,215,71,144,0,55,69,0.33023255814,0.66976744186,0.255813953488,0.320930232558
direct,bm25,22,1000,bm25_only,215,15,200,0,0,0,0.0697674418605,0.93023255814,0,0
direct,bm25,23,1000,shared,735,292,443,0,118,182,0.397278911565,0.602721088435,0.160544217687,0.247619047619
direct,bm25,23,1000,method_only,265,72,193,0,17,47,0.271698113208,0.728301886792,0.0641509433962,0.177358490566
direct,bm25,23,1000,bm25_only,265,6,259,0,0,1,0.022641509434,0.977358490566,0,0.00377358490566
direct,bm25,24,1000,shared,709,326,383,0,215,269,0.459802538787,0.540197461213,0.303244005642,0.379407616361
direct,bm25,24,1000,method_only,291,71,220,0,33,54,0.243986254296,0.756013745704,0.113402061856,0.185567010309
direct,bm25,24,1000,bm25_only,291,19,272,0,1,3,0.0652920962199,0.93470790378,0.00343642611684,0.0103092783505
direct,bm25,25,1000,shared,746,288,458,0,85,113,0.386058981233,0.613941018767,0.113941018767,0.151474530831
direct,bm25,25,1000,method_only,254,115,139,0,85,104,0.452755905512,0.547244094488,0.334645669291,0.409448818898
direct,bm25,25,1000,bm25_only,254,55,199,0,2,4,0.216535433071,0.783464566929,0.00787401574803,0.0157480314961
direct,bm25,26,1000,shared,776,313,463,0,208,241,0.403350515464,0.596649484536,0.268041237113,0.310567010309
direct,bm25,26,1000,method_only,224,83,141,0,69,77,0.370535714286,0.629464285714,0.308035714286,0.34375
direct,bm25,26,1000,bm25_only,224,11,213,0,1,2,0.0491071428571,0.950892857143,0.00446428571429,0.00892857142857
direct,bm25,27,1000,shared,910,422,488,0,224,384,0.463736263736,0.536263736264,0.246153846154,0.421978021978
direct,bm25,27,1000,method_only,90,7,83,0,3,6,0.0777777777778,0.922222222222,0.0333333333333,0.0666666666667
direct,bm25,27,1000,bm25_only,90,15,75,0,3,4,0.166666666667,0.833333333333,0.0333333333333,0.0444444444444
direct,bm25,28,1000,shared,830,416,414,0,360,380,0.501204819277,0.498795180723,0.433734939759,0.457831325301
direct,bm25,28,1000,method_only,170,65,105,0,49,60,0.382352941176,0.617647058824,0.288235294118,0.352941176471
direct,bm25,28,1000,bm25_only,170,7,163,0,3,3,0.0411764705882,0.958823529412,0.0176470588235,0.0176470588235
direct,bm25,29,1000,shared,809,434,375,0,191,290,0.536464771323,0.463535228677,0.23609394314,0.358467243511
direct,bm25,29,1000,method_only,191,64,127,0,29,51,0.335078534031,0.664921465969,0.151832460733,0.267015706806
direct,bm25,29,1000,bm25_only,191,43,148,0,8,16,0.225130890052,0.774869109948,0.0418848167539,0.0837696335079
direct,bm25,30,1000,shared,759,316,443,0,149,245,0.416337285903,0.583662714097,0.196310935441,0.32279314888
direct,bm25,30,1000,method_only,241,36,205,0,5,21,0.149377593361,0.850622406639,0.0207468879668,0.0871369294606
direct,bm25,30,1000,bm25_only,241,21,220,0,1,7,0.0871369294606,0.912863070539,0.00414937759336,0.0290456431535
direct,bm25,31,1000,shared,744,376,368,0,33,94,0.505376344086,0.494623655914,0.0443548387097,0.126344086022
direct,bm25,31,1000,method_only,256,35,221,0,8,15,0.13671875,0.86328125,0.03125,0.05859375
direct,bm25,31,1000,bm25_only,256,45,211,0,1,5,0.17578125,0.82421875,0.00390625,0.01953125
direct,bm25,32,1000,shared,426,135,291,0,24,38,0.316901408451,0.683098591549,0.056338028169,0.0892018779343
direct,bm25,32,1000,method_only,574,51,523,0,13,16,0.088850174216,0.911149825784,0.0226480836237,0.0278745644599
direct,bm25,32,1000,bm25_only,574,103,471,0,4,9,0.179442508711,0.820557491289,0.00696864111498,0.0156794425087
direct,bm25,33,1000,shared,685,379,306,0,91,136,0.553284671533,0.446715328467,0.132846715328,0.198540145985
direct,bm25,33,1000,method_only,315,70,245,0,21,41,0.222222222222,0.777777777778,0.0666666666667,0.130158730159
direct,bm25,33,1000,bm25_only,315,51,264,0,3,4,0.161904761905,0.838095238095,0.00952380952381,0.0126984126984
direct,bm25,34,1000,shared,583,219,364,0,36,57,0.3756432247,0.6243567753,0.0617495711835,0.0977701543739
direct,bm25,34,1000,method_only,417,55,362,0,11,18,0.131894484412,0.868105515588,0.0263788968825,0.0431654676259
direct,bm25,34,1000,bm25_only,417,12,405,0,0,0,0.0287769784173,0.971223021583,0,0
direct,bm25,35,1000,shared,751,315,436,0,106,113,0.419440745672,0.580559254328,0.141145139814,0.150466045273
direct,bm25,35,1000,method_only,249,43,206,0,10,16,0.172690763052,0.827309236948,0.0401606425703,0.0642570281124
direct,bm25,35,1000,bm25_only,249,27,222,0,5,5,0.10843373494,0.89156626506,0.0200803212851,0.0200803212851
direct,bm25,36,1000,shared,861,528,333,0,368,411,0.613240418118,0.386759581882,0.427409988386,0.477351916376
direct,bm25,36,1000,method_only,139,37,102,0,22,24,0.26618705036,0.73381294964,0.158273381295,0.172661870504
direct,bm25,36,1000,bm25_only,139,40,99,0,11,19,0.287769784173,0.712230215827,0.0791366906475,0.136690647482
direct,bm25,37,1000,shared,840,539,301,0,226,301,0.641666666667,0.358333333333,0.269047619048,0.358333333333
direct,bm25,37,1000,method_only,160,67,93,0,25,41,0.41875,0.58125,0.15625,0.25625
direct,bm25,37,1000,bm25_only,160,30,130,0,5,6,0.1875,0.8125,0.03125,0.0375
direct,bm25,38,1000,shared,691,448,243,0,212,368,0.648335745297,0.351664254703,0.306801736614,0.532561505065
direct,bm25,38,1000,method_only,309,176,133,0,133,168,0.569579288026,0.430420711974,0.430420711974,0.543689320388
direct,bm25,38,1000,bm25_only,309,73,236,0,2,24,0.236245954693,0.763754045307,0.00647249190939,0.0776699029126
direct,bm25,39,1000,shared,889,603,286,0,342,571,0.678290213723,0.321709786277,0.384701912261,0.642294713161
direct,bm25,39,1000,method_only,111,27,84,0,14,27,0.243243243243,0.756756756757,0.126126126126,0.243243243243
direct,bm25,39,1000,bm25_only,111,27,84,0,7,23,0.243243243243,0.756756756757,0.0630630630631,0.207207207207
direct,bm25,40,1000,shared,717,497,220,0,276,367,0.693165969317,0.306834030683,0.384937238494,0.511854951185
direct,bm25,40,1000,method_only,283,80,203,0,36,64,0.282685512367,0.717314487633,0.127208480565,0.226148409894
direct,bm25,40,1000,bm25_only,283,59,224,0,2,7,0.208480565371,0.791519434629,0.00706713780919,0.0247349823322
direct,bm25,41,1000,shared,642,274,368,0,96,118,0.426791277259,0.573208722741,0.14953271028,0.183800623053
direct,bm25,41,1000,method_only,358,157,201,0,89,110,0.438547486034,0.561452513966,0.248603351955,0.307262569832
direct,bm25,41,1000,bm25_only,358,24,334,0,1,3,0.0670391061453,0.932960893855,0.00279329608939,0.00837988826816
direct,bm25,42,1000,shared,766,329,437,0,169,187,0.429503916449,0.570496083551,0.220626631854,0.244125326371
direct,bm25,42,1000,method_only,234,27,207,0,12,13,0.115384615385,0.884615384615,0.0512820512821,0.0555555555556
direct,bm25,42,1000,bm25_only,234,6,228,0,1,1,0.025641025641,0.974358974359,0.0042735042735,0.0042735042735
direct,bm25,43,1000,shared,453,261,192,0,123,152,0.576158940397,0.423841059603,0.271523178808,0.335540838852
direct,bm25,43,1000,method_only,547,37,510,0,9,18,0.0676416819013,0.932358318099,0.0164533820841,0.0329067641682
direct,bm25,43,1000,bm25_only,547,64,483,0,4,10,0.117001828154,0.882998171846,0.0073126142596,0.018281535649
direct,bm25,44,1000,shared,710,415,295,0,216,297,0.584507042254,0.415492957746,0.304225352113,0.418309859155
direct,bm25,44,1000,method_only,290,119,171,0,71,101,0.410344827586,0.589655172414,0.244827586207,0.348275862069
direct,bm25,44,1000,bm25_only,290,16,274,0,0,1,0.0551724137931,0.944827586207,0,0.00344827586207
direct,bm25,45,1000,shared,795,498,297,0,250,456,0.62641509434,0.37358490566,0.314465408805,0.57358490566
direct,bm25,45,1000,method_only,205,49,156,0,25,47,0.239024390244,0.760975609756,0.121951219512,0.229268292683
direct,bm25,45,1000,bm25_only,205,71,134,0,31,49,0.346341463415,0.653658536585,0.151219512195,0.239024390244
direct,bm25,46,1000,shared,687,203,484,0,48,86,0.295487627365,0.704512372635,0.0698689956332,0.125181950509
direct,bm25,46,1000,method_only,313,36,277,0,16,28,0.115015974441,0.884984025559,0.0511182108626,0.0894568690096
direct,bm25,46,1000,bm25_only,313,29,284,0,1,2,0.0926517571885,0.907348242812,0.00319488817891,0.00638977635783
direct,bm25,47,1000,shared,622,309,313,0,140,185,0.496784565916,0.503215434084,0.225080385852,0.297427652733
direct,bm25,47,1000,method_only,378,110,268,0,69,80,0.291005291005,0.708994708995,0.18253968254,0.21164021164
direct,bm25,47,1000,bm25_only,378,42,336,0,3,3,0.111111111111,0.888888888889,0.00793650793651,0.00793650793651
direct,bm25,48,1000,shared,781,264,517,0,141,219,0.338028169014,0.661971830986,0.180537772087,0.280409731114
direct,bm25,48,1000,method_only,219,43,176,0,25,38,0.196347031963,0.803652968037,0.114155251142,0.173515981735
direct,bm25,48,1000,bm25_only,219,16,203,0,1,3,0.0730593607306,0.926940639269,0.00456621004566,0.013698630137
direct,bm25,49,1000,shared,676,289,387,0,46,93,0.427514792899,0.572485207101,0.0680473372781,0.137573964497
direct,bm25,49,1000,method_only,324,111,213,0,38,58,0.342592592593,0.657407407407,0.117283950617,0.179012345679
direct,bm25,49,1000,bm25_only,324,33,291,0,0,0,0.101851851852,0.898148148148,0,0
direct,bm25,50,1000,shared,765,322,443,0,29,74,0.42091503268,0.57908496732,0.037908496732,0.0967320261438
direct,bm25,50,1000,method_only,235,45,190,0,3,13,0.191489361702,0.808510638298,0.0127659574468,0.0553191489362
direct,bm25,50,1000,bm25_only,235,42,193,0,0,2,0.178723404255,0.821276595745,0,0.00851063829787
direct_minmax,bm25,1,20,shared,13,11,2,0,2,8,0.846153846154,0.153846153846,0.153846153846,0.615384615385
direct_minmax,bm25,1,20,method_only,7,6,1,0,3,6,0.857142857143,0.142857142857,0.428571428571,0.857142857143
direct_minmax,bm25,1,20,bm25_only,7,6,1,0,1,3,0.857142857143,0.142857142857,0.142857142857,0.428571428571
direct_minmax,bm25,2,20,shared,8,7,1,0,4,4,0.875,0.125,0.5,0.5
direct_minmax,bm25,2,20,method_only,12,12,0,0,10,12,1,0,0.833333333333,1
direct_minmax,bm25,2,20,bm25_only,12,12,0,0,3,3,1,0,0.25,0.25
direct_minmax,bm25,3,20,shared,10,9,1,0,4,7,0.9,0.1,0.4,0.7
direct_minmax,bm25,3,20,method_only,10,10,0,0,8,10,1,0,0.8,1
direct_minmax,bm25,3,20,bm25_only,10,9,1,0,0,0,0.9,0.1,0,0
direct_minmax,bm25,4,20,shared,10,10,0,0,2,3,1,0,0.2,0.3
direct_minmax,bm25,4,20,method_only,10,7,3,0,2,5,0.7,0.3,0.2,0.5
direct_minmax,bm25,4,20,bm25_only,10,10,0,0,0,0,1,0,0,0
direct_minmax,bm25,5,20,shared,9,9,0,0,5,9,1,0,0.555555555556,1
direct_minmax,bm25,5,20,method_only,11,6,5,0,3,5,0.545454545455,0.454545454545,0.272727272727,0.454545454545
direct_minmax,bm25,5,20,bm25_only,11,9,2,0,2,7,0.818181818182,0.181818181818,0.181818181818,0.636363636364
direct_minmax,bm25,6,20,shared,12,12,0,0,10,11,1,0,0.833333333333,0.916666666667
direct_minmax,bm25,6,20,method_only,8,8,0,0,8,8,1,0,1,1
direct_minmax,bm25,6,20,bm25_only,8,7,1,0,5,6,0.875,0.125,0.625,0.75
direct_minmax,bm25,7,20,shared,13,13,0,0,9,10,1,0,0.692307692308,0.769230769231
direct_minmax,bm25,7,20,method_only,7,7,0,0,7,7,1,0,1,1
direct_minmax,bm25,7,20,bm25_only,7,7,0,0,4,4,1,0,0.571428571429,0.571428571429
direct_minmax,bm25,8,20,shared,16,12,4,0,8,10,0.75,0.25,0.5,0.625
direct_minmax,bm25,8,20,method_only,4,4,0,0,3,4,1,0,0.75,1
direct_minmax,bm25,8,20,bm25_only,4,3,1,0,1,2,0.75,0.25,0.25,0.5
direct_minmax,bm25,9,20,shared,9,9,0,0,2,3,1,0,0.222222222222,0.333333333333
direct_minmax,bm25,9,20,method_only,11,11,0,0,3,6,1,0,0.272727272727,0.545454545455
direct_minmax,bm25,9,20,bm25_only,11,11,0,0,0,1,1,0,0,0.0909090909091
direct_minmax,bm25,10,20,shared,13,13,0,0,12,12,1,0,0.923076923077,0.923076923077
direct_minmax,bm25,10,20,method_only,7,7,0,0,5,7,1,0,0.714285714286,1
direct_minmax,bm25,10,20,bm25_only,7,7,0,0,2,6,1,0,0.285714285714,0.857142857143
direct_minmax,bm25,11,20,shared,10,10,0,0,7,9,1,0,0.7,0.9
direct_minmax,bm25,11,20,method_only,10,9,1,0,8,9,0.9,0.1,0.8,0.9
direct_minmax,bm25,11,20,bm25_only,10,8,2,0,1,1,0.8,0.2,0.1,0.1
direct_minmax,bm25,12,20,shared,8,6,2,0,1,5,0.75,0.25,0.125,0.625
direct_minmax,bm25,12,20,method_only,12,12,0,0,3,7,1,0,0.25,0.583333333333
direct_minmax,bm25,12,20,bm25_only,12,10,2,0,2,5,0.833333333333,0.166666666667,0.166666666667,0.416666666667
direct_minmax,bm25,13,20,shared,15,14,1,0,6,12,0.933333333333,0.0666666666667,0.4,0.8
direct_minmax,bm25,13,20,method_only,5,4,1,0,3,4,0.8,0.2,0.6,0.8
direct_minmax,bm25,13,20,bm25_only,5,5,0,0,1,4,1,0,0.2,0.8
direct_minmax,bm25,14,20,shared,18,18,0,0,11,15,1,0,0.611111111111,0.833333333333
direct_minmax,bm25,14,20,method_only,2,2,0,0,1,2,1,0,0.5,1
direct_minmax,bm25,14,20,bm25_only,2,2,0,0,0,1,1,0,0,0.5
direct_minmax,bm25,15,20,shared,9,8,1,0,2,4,0.888888888889,0.111111111111,0.222222222222,0.444444444444
direct_minmax,bm25,15,20,method_only,11,7,4,0,2,2,0.636363636364,0.363636363636,0.181818181818,0.181818181818
direct_minmax,bm25,15,20,bm25_only,11,6,5,0,0,0,0.545454545455,0.454545454545,0,0
direct_minmax,bm25,16,20,shared,6,6,0,0,4,6,1,0,0.666666666667,1
direct_minmax,bm25,16,20,method_only,14,13,1,0,7,13,0.928571428571,0.0714285714286,0.5,0.928571428571
direct_minmax,bm25,16,20,bm25_only,14,11,3,0,0,0,0.785714285714,0.214285714286,0,0
direct_minmax,bm25,17,20,shared,9,9,0,0,4,7,1,0,0.444444444444,0.777777777778
direct_minmax,bm25,17,20,method_only,11,8,3,0,6,8,0.727272727273,0.272727272727,0.545454545455,0.727272727273
direct_minmax,bm25,17,20,bm25_only,11,9,2,0,3,5,0.818181818182,0.181818181818,0.272727272727,0.454545454545
direct_minmax,bm25,18,20,shared,11,11,0,0,8,10,1,0,0.727272727273,0.909090909091
direct_minmax,bm25,18,20,method_only,9,9,0,0,6,9,1,0,0.666666666667,1
direct_minmax,bm25,18,20,bm25_only,9,9,0,0,2,5,1,0,0.222222222222,0.555555555556
direct_minmax,bm25,19,20,shared,13,13,0,0,5,10,1,0,0.384615384615,0.769230769231
direct_minmax,bm25,19,20,method_only,7,7,0,0,2,2,1,0,0.285714285714,0.285714285714
direct_minmax,bm25,19,20,bm25_only,7,7,0,0,0,4,1,0,0,0.571428571429
direct_minmax,bm25,20,20,shared,15,14,1,0,14,14,0.933333333333,0.0666666666667,0.933333333333,0.933333333333
direct_minmax,bm25,20,20,method_only,5,5,0,0,5,5,1,0,1,1
direct_minmax,bm25,20,20,bm25_only,5,4,1,0,3,3,0.8,0.2,0.6,0.6
direct_minmax,bm25,21,20,shared,13,12,1,0,6,8,0.923076923077,0.0769230769231,0.461538461538,0.615384615385
direct_minmax,bm25,21,20,method_only,7,5,2,0,5,5,0.714285714286,0.285714285714,0.714285714286,0.714285714286
direct_minmax,bm25,21,20,bm25_only,7,6,1,0,1,1,0.857142857143,0.142857142857,0.142857142857,0.142857142857
direct_minmax,bm25,22,20,shared,17,14,3,0,12,14,0.823529411765,0.176470588235,0.705882352941,0.823529411765
direct_minmax,bm25,22,20,method_only,3,3,0,0,1,3,1,0,0.333333333333,1
direct_minmax,bm25,22,20,bm25_only,3,2,1,0,2,2,0.666666666667,0.333333333333,0.666666666667,0.666666666667
direct_minmax,bm25,23,20,shared,14,14,0,0,14,14,1,0,1,1
direct_minmax,bm25,23,20,method_only,6,6,0,0,3,6,1,0,0.5,1
direct_minmax,bm25,23,20,bm25_only,6,5,1,0,1,2,0.833333333333,0.166666666667,0.166666666667,0.333333333333
direct_minmax,bm25,24,20,shared,9,9,0,0,9,9,1,0,1,1
direct_minmax,bm25,24,20,method_only,11,11,0,0,10,11,1,0,0.909090909091,1
direct_minmax,bm25,24,20,bm25_only,11,9,2,0,4,6,0.818181818182,0.181818181818,0.363636363636,0.545454545455
direct_minmax,bm25,25,20,shared,6,6,0,0,3,3,1,0,0.5,0.5
direct_minmax,bm25,25,20,method_only,14,10,4,0,6,7,0.714285714286,0.285714285714,0.428571428571,0.5
direct_minmax,bm25,25,20,bm25_only,14,9,5,0,0,0,0.642857142857,0.357142857143,0,0
direct_minmax,bm25,26,20,shared,15,14,1,0,9,9,0.933333333333,0.0666666666667,0.6,0.6
direct_minmax,bm25,26,20,method_only,5,4,1,0,3,4,0.8,0.2,0.6,0.8
direct_minmax,bm25,26,20,bm25_only,5,3,2,0,3,3,0.6,0.4,0.6,0.6
direct_minmax,bm25,27,20,shared,6,6,0,0,6,6,1,0,1,1
direct_minmax,bm25,27,20,method_only,14,14,0,0,11,14,1,0,0.785714285714,1
direct_minmax,bm25,27,20,bm25_only,14,12,2,0,10,11,0.857142857143,0.142857142857,0.714285714286,0.785714285714
direct_minmax,bm25,28,20,shared,9,9,0,0,9,9,1,0,1,1
direct_minmax,bm25,28,20,method_only,11,9,2,0,9,9,0.818181818182,0.181818181818,0.818181818182,0.818181818182
direct_minmax,bm25,28,20,bm25_only,11,11,0,0,8,9,1,0,0.727272727273,0.818181818182
direct_minmax,bm25,29,20,shared,13,13,0,0,9,12,1,0,0.692307692308,0.923076923077
direct_minmax,bm25,29,20,method_only,7,6,1,0,5,6,0.857142857143,0.142857142857,0.714285714286,0.857142857143
direct_minmax,bm25,29,20,bm25_only,7,7,0,0,4,5,1,0,0.571428571429,0.714285714286
direct_minmax,bm25,30,20,shared,14,14,0,0,14,14,1,0,1,1
direct_minmax,bm25,30,20,method_only,6,6,0,0,6,6,1,0,1,1
direct_minmax,bm25,30,20,bm25_only,6,6,0,0,5,6,1,0,0.833333333333,1
direct_minmax,bm25,31,20,shared,15,14,1,0,2,4,0.933333333333,0.0666666666667,0.133333333333,0.266666666667
direct_minmax,bm25,31,20,method_only,5,5,0,0,1,3,1,0,0.2,0.6
direct_minmax,bm25,31,20,bm25_only,5,5,0,0,0,0,1,0,0,0
direct_minmax,bm25,32,20,shared,14,14,0,0,6,8,1,0,0.428571428571,0.571428571429
direct_minmax,bm25,32,20,method_only,6,2,4,0,1,1,0.333333333333,0.666666666667,0.166666666667,0.166666666667
direct_minmax,bm25,32,20,bm25_only,6,6,0,0,0,1,1,0,0,0.166666666667
direct_minmax,bm25,33,20,shared,11,11,0,0,6,10,1,0,0.545454545455,0.909090909091
direct_minmax,bm25,33,20,method_only,9,9,0,0,3,7,1,0,0.333333333333,0.777777777778
direct_minmax,bm25,33,20,bm25_only,9,9,0,0,2,4,1,0,0.222222222222,0.444444444444
direct_minmax,bm25,34,20,shared,8,7,1,0,3,5,0.875,0.125,0.375,0.625
direct_minmax,bm25,34,20,method_only,12,11,1,0,2,3,0.916666666667,0.0833333333333,0.166666666667,0.25
direct_minmax,bm25,34,20,bm25_only,12,7,5,0,2,2,0.583333333333,0.416666666667,0.166666666667,0.166666666667
direct_minmax,bm25,35,20,shared,11,11,0,0,5,5,1,0,0.454545454545,0.454545454545
direct_minmax,bm25,35,20,method_only,9,9,0,0,9,9,1,0,1,1
direct_minmax,bm25,35,20,bm25_only,9,9,0,0,4,4,1,0,0.444444444444,0.444444444444
direct_minmax,bm25,36,20,shared,13,13,0,0,12,12,1,0,0.923076923077,0.923076923077
direct_minmax,bm25,36,20,method_only,7,7,0,0,7,7,1,0,1,1
direct_minmax,bm25,36,20,bm25_only,7,7,0,0,6,7,1,0,0.857142857143,1
direct_minmax,bm25,37,20,shared,14,14,0,0,7,12,1,0,0.5,0.857142857143
direct_minmax,bm25,37,20,method_only,6,6,0,0,3,4,1,0,0.5,0.666666666667
direct_minmax,bm25,37,20,bm25_only,6,6,0,0,2,4,1,0,0.333333333333,0.666666666667
direct_minmax,bm25,38,20,shared,8,8,0,0,7,7,1,0,0.875,0.875
direct_minmax,bm25,38,20,method_only,12,11,1,0,8,11,0.916666666667,0.0833333333333,0.666666666667,0.916666666667
direct_minmax,bm25,38,20,bm25_only,12,12,0,0,4,5,1,0,0.333333333333,0.416666666667
direct_minmax,bm25,39,20,shared,13,13,0,0,11,13,1,0,0.846153846154,1
direct_minmax,bm25,39,20,method_only,7,7,0,0,7,7,1,0,1,1
direct_minmax,bm25,39,20,bm25_only,7,7,0,0,6,7,1,0,0.857142857143,1
direct_minmax,bm25,40,20,shared,14,14,0,0,14,14,1,0,1,1
direct_minmax,bm25,40,20,method_only,6,6,0,0,4,6,1,0,0.666666666667,1
direct_minmax,bm25,40,20,bm25_only,6,6,0,0,6,6,1,0,1,1
direct_minmax,bm25,41,20,shared,11,11,0,0,9,9,1,0,0.818181818182,0.818181818182
direct_minmax,bm25,41,20,method_only,9,9,0,0,8,9,1,0,0.888888888889,1
direct_minmax,bm25,41,20,bm25_only,9,9,0,0,6,6,1,0,0.666666666667,0.666666666667
direct_minmax,bm25,42,20,shared,12,12,0,0,9,12,1,0,0.75,1
direct_minmax,bm25,42,20,method_only,8,8,0,0,8,8,1,0,1,1
direct_minmax,bm25,42,20,bm25_only,8,8,0,0,3,3,1,0,0.375,0.375
direct_minmax,bm25,43,20,shared,13,13,0,0,9,10,1,0,0.692307692308,0.769230769231
direct_minmax,bm25,43,20,method_only,7,7,0,0,7,7,1,0,1,1
direct_minmax,bm25,43,20,bm25_only,7,7,0,0,4,6,1,0,0.571428571429,0.857142857143
direct_minmax,bm25,44,20,shared,12,12,0,0,11,12,1,0,0.916666666667,1
direct_minmax,bm25,44,20,method_only,8,8,0,0,8,8,1,0,1,1
direct_minmax,bm25,44,20,bm25_only,8,7,1,0,3,6,0.875,0.125,0.375,0.75
direct_minmax,bm25,45,20,shared,9,9,0,0,6,9,1,0,0.666666666667,1
direct_minmax,bm25,45,20,method_only,11,10,1,0,4,10,0.909090909091,0.0909090909091,0.363636363636,0.909090909091
direct_minmax,bm25,45,20,bm25_only,11,10,1,0,5,9,0.909090909091,0.0909090909091,0.454545454545,0.818181818182
direct_minmax,bm25,46,20,shared,11,11,0,0,8,10,1,0,0.727272727273,0.909090909091
direct_minmax,bm25,46,20,method_only,9,9,0,0,9,9,1,0,1,1
direct_minmax,bm25,46,20,bm25_only,9,9,0,0,1,4,1,0,0.111111111111,0.444444444444
direct_minmax,bm25,47,20,shared,7,6,1,0,4,4,0.857142857143,0.142857142857,0.571428571429,0.571428571429
direct_minmax,bm25,47,20,method_only,13,13,0,0,11,11,1,0,0.846153846154,0.846153846154
direct_minmax,bm25,47,20,bm25_only,13,8,5,0,0,2,0.615384615385,0.384615384615,0,0.153846153846
direct_minmax,bm25,48,20,shared,11,11,0,0,11,11,1,0,1,1
direct_minmax,bm25,48,20,method_only,9,9,0,0,8,9,1,0,0.888888888889,1
direct_minmax,bm25,48,20,bm25_only,9,6,3,0,4,5,0.666666666667,0.333333333333,0.444444444444,0.555555555556
direct_minmax,bm25,49,20,shared,9,9,0,0,3,7,1,0,0.333333333333,0.777777777778
direct_minmax,bm25,49,20,method_only,11,11,0,0,5,8,1,0,0.454545454545,0.727272727273
direct_minmax,bm25,49,20,bm25_only,11,10,1,0,0,0,0.909090909091,0.0909090909091,0,0
direct_minmax,bm25,50,20,shared,12,12,0,0,6,11,1,0,0.5,0.916666666667
direct_minmax,bm25,50,20,method_only,8,8,0,0,1,3,1,0,0.125,0.375
direct_minmax,bm25,50,20,bm25_only,8,8,0,0,1,4,1,0,0.125,0.5
direct_minmax,bm25,1,50,shared,26,20,6,0,6,16,0.769230769231,0.230769230769,0.230769230769,0.615384615385
direct_minmax,bm25,1,50,method_only,24,20,4,0,5,14,0.833333333333,0.166666666667,0.208333333333,0.583333333333
direct_minmax,bm25,1,50,bm25_only,24,12,12,0,0,0,0.5,0.5,0,0
direct_minmax,bm25,2,50,shared,35,34,1,0,22,27,0.971428571429,0.0285714285714,0.628571428571,0.771428571429
