method,baseline,query_id,k,n_shared,n_method_only,n_bm25_only,n_union,overlap_fraction,jaccard
direct_minmax,bm25,44,20,12,8,8,28,0.6,0.428571428571
direct_minmax,bm25,45,20,9,11,11,31,0.45,0.290322580645
direct_minmax,bm25,46,20,11,9,9,29,0.55,0.379310344828
direct_minmax,bm25,47,20,7,13,13,33,0.35,0.212121212121
direct_minmax,bm25,48,20,11,9,9,29,0.55,0.379310344828
direct_minmax,bm25,49,20,9,11,11,31,0.45,0.290322580645
direct_minmax,bm25,50,20,12,8,8,28,0.6,0.428571428571
direct_minmax,bm25,1,50,26,24,24,74,0.52,0.351351351351
direct_minmax,bm25,2,50,35,15,15,65,0.7,0.538461538462
direct_minmax,bm25,3,50,27,23,23,73,0.54,0.369863013699
direct_minmax,bm25,4,50,32,18,18,68,0.64,0.470588235294
direct_minmax,bm25,5,50,17,33,33,83,0.34,0.204819277108
direct_minmax,bm25,6,50,26,24,24,74,0.52,0.351351351351
direct_minmax,bm25,7,50,34,16,16,66,0.68,0.515151515152
direct_minmax,bm25,8,50,28,22,22,72,0.56,0.388888888889
direct_minmax,bm25,9,50,34,16,16,66,0.68,0.515151515152
direct_minmax,bm25,10,50,25,25,25,75,0.5,0.333333333333
direct_minmax,bm25,11,50,32,18,18,68,0.64,0.470588235294
direct_minmax,bm25,12,50,29,21,21,71,0.58,0.408450704225
direct_minmax,bm25,13,50,38,12,12,62,0.76,0.612903225806
direct_minmax,bm25,14,50,44,6,6,56,0.88,0.785714285714
direct_minmax,bm25,15,50,18,32,32,82,0.36,0.219512195122
direct_minmax,bm25,16,50,16,34,34,84,0.32,0.190476190476
direct_minmax,bm25,17,50,20,30,30,80,0.4,0.25
direct_minmax,bm25,18,50,32,18,18,68,0.64,0.470588235294
direct_minmax,bm25,19,50,42,8,8,58,0.84,0.724137931034
direct_minmax,bm25,20,50,28,22,22,72,0.56,0.388888888889
direct_minmax,bm25,21,50,33,17,17,67,0.66,0.492537313433
direct_minmax,bm25,22,50,35,15,15,65,0.7,0.538461538462
direct_minmax,bm25,23,50,31,19,19,69,0.62,0.449275362319
direct_minmax,bm25,24,50,34,16,16,66,0.68,0.515151515152
direct_minmax,bm25,25,50,16,34,34,84,0.32,0.190476190476
direct_minmax,bm25,26,50,34,16,16,66,0.68,0.515151515152
direct_minmax,bm25,27,50,16,34,34,84,0.32,0.190476190476
direct_minmax,bm25,28,50,30,20,20,70,0.6,0.428571428571
direct_minmax,bm25,29,50,35,15,15,65,0.7,0.538461538462
direct_minmax,bm25,30,50,32,18,18,68,0.64,0.470588235294
direct_minmax,bm25,31,50,29,21,21,71,0.58,0.408450704225
direct_minmax,bm25,32,50,26,24,24,74,0.52,0.351351351351
direct_minmax,bm25,33,50,32,18,18,68,0.64,0.470588235294
direct_minmax,bm25,34,50,21,29,29,79,0.42,0.26582278481
direct_minmax,bm25,35,50,33,17,17,67,0.66,0.492537313433
direct_minmax,bm25,36,50,34,16,16,66,0.68,0.515151515152
direct_minmax,bm25,37,50,39,11,11,61,0.78,0.639344262295
direct_minmax,bm25,38,50,20,30,30,80,0.4,0.25
direct_minmax,bm25,39,50,35,15,15,65,0.7,0.538461538462
direct_minmax,bm25,40,50,37,13,13,63,0.74,0.587301587302
direct_minmax,bm25,41,50,34,16,16,66,0.68,0.515151515152
direct_minmax,bm25,42,50,31,19,19,69,0.62,0.449275362319
direct_minmax,bm25,43,50,33,17,17,67,0.66,0.492537313433
direct_minmax,bm25,44,50,32,18,18,68,0.64,0.470588235294
direct_minmax,bm25,45,50,22,28,28,78,0.44,0.282051282051
direct_minmax,bm25,46,50,37,13,13,63,0.74,0.587301587302
direct_minmax,bm25,47,50,21,29,29,79,0.42,0.26582278481
direct_minmax,bm25,48,50,22,28,28,78,0.44,0.282051282051
direct_minmax,bm25,49,50,15,35,35,85,0.3,0.176470588235
direct_minmax,bm25,50,50,19,31,31,81,0.38,0.234567901235
direct_minmax,bm25,1,100,57,43,43,143,0.57,0.398601398601
direct_minmax,bm25,2,100,71,29,29,129,0.71,0.550387596899
direct_minmax,bm25,3,100,64,36,36,136,0.64,0.470588235294
direct_minmax,bm25,4,100,69,31,31,131,0.69,0.526717557252
direct_minmax,bm25,5,100,41,59,59,159,0.41,0.25786163522
direct_minmax,bm25,6,100,48,52,52,152,0.48,0.315789473684
direct_minmax,bm25,7,100,62,38,38,138,0.62,0.449275362319
direct_minmax,bm25,8,100,56,44,44,144,0.56,0.388888888889
direct_minmax,bm25,9,100,69,31,31,131,0.69,0.526717557252
direct_minmax,bm25,10,100,55,45,45,145,0.55,0.379310344828
direct_minmax,bm25,11,100,72,28,28,128,0.72,0.5625
direct_minmax,bm25,12,100,58,42,42,142,0.58,0.408450704225
direct_minmax,bm25,13,100,67,33,33,133,0.67,0.503759398496
direct_minmax,bm25,14,100,78,22,22,122,0.78,0.639344262295
direct_minmax,bm25,15,100,36,64,64,164,0.36,0.219512195122
direct_minmax,bm25,16,100,35,65,65,165,0.35,0.212121212121
direct_minmax,bm25,17,100,49,51,51,151,0.49,0.324503311258
direct_minmax,bm25,18,100,62,38,38,138,0.62,0.449275362319
direct_minmax,bm25,19,100,71,29,29,129,0.71,0.550387596899
direct_minmax,bm25,20,100,51,49,49,149,0.51,0.342281879195
direct_minmax,bm25,21,100,64,36,36,136,0.64,0.470588235294
direct_minmax,bm25,22,100,70,30,30,130,0.7,0.538461538462
direct_minmax,bm25,23,100,60,40,40,140,0.6,0.428571428571
direct_minmax,bm25,24,100,66,34,34,134,0.66,0.492537313433
direct_minmax,bm25,25,100,44,56,56,156,0.44,0.282051282051
direct_minmax,bm25,26,100,73,27,27,127,0.73,0.574803149606
direct_minmax,bm25,27,100,55,45,45,145,0.55,0.379310344828
direct_minmax,bm25,28,100,75,25,25,125,0.75,0.6
direct_minmax,bm25,29,100,75,25,25,125,0.75,0.6
direct_minmax,bm25,30,100,65,35,35,135,0.65,0.481481481481
direct_minmax,bm25,31,100,57,43,43,143,0.57,0.398601398601
direct_minmax,bm25,32,100,33,67,67,167,0.33,0.197604790419
direct_minmax,bm25,33,100,64,36,36,136,0.64,0.470588235294
direct_minmax,bm25,34,100,42,58,58,158,0.42,0.26582278481
direct_minmax,bm25,35,100,62,38,38,138,0.62,0.449275362319
direct_minmax,bm25,36,100,65,35,35,135,0.65,0.481481481481
direct_minmax,bm25,37,100,71,29,29,129,0.71,0.550387596899
direct_minmax,bm25,38,100,49,51,51,151,0.49,0.324503311258
direct_minmax,bm25,39,100,64,36,36,136,0.64,0.470588235294
direct_minmax,bm25,40,100,83,17,17,117,0.83,0.709401709402
direct_minmax,bm25,41,100,72,28,28,128,0.72,0.5625
direct_minmax,bm25,42,100,59,41,41,141,0.59,0.418439716312
direct_minmax,bm25,43,100,70,30,30,130,0.7,0.538461538462
direct_minmax,bm25,44,100,62,38,38,138,0.62,0.449275362319
direct_minmax,bm25,45,100,49,51,51,151,0.49,0.324503311258
direct_minmax,bm25,46,100,58,42,42,142,0.58,0.408450704225
direct_minmax,bm25,47,100,38,62,62,162,0.38,0.234567901235
direct_minmax,bm25,48,100,45,55,55,155,0.45,0.290322580645
direct_minmax,bm25,49,100,38,62,62,162,0.38,0.234567901235
direct_minmax,bm25,50,100,42,58,58,158,0.42,0.26582278481
direct_minmax,bm25,1,1000,800,200,200,1200,0.8,0.666666666667
direct_minmax,bm25,2,1000,540,460,460,1460,0.54,0.369863013699
direct_minmax,bm25,3,1000,739,261,261,1261,0.739,0.586042823156
direct_minmax,bm25,4,1000,787,213,213,1213,0.787,0.648804616653
direct_minmax,bm25,5,1000,643,357,357,1357,0.643,0.473839351511
direct_minmax,bm25,6,1000,680,320,320,1320,0.68,0.515151515152
direct_minmax,bm25,7,1000,748,252,252,1252,0.748,0.597444089457
direct_minmax,bm25,8,1000,601,399,399,1399,0.601,0.429592566119
direct_minmax,bm25,9,1000,746,254,254,1254,0.746,0.594896331738
direct_minmax,bm25,10,1000,740,260,260,1260,0.74,0.587301587302
direct_minmax,bm25,11,1000,774,226,226,1226,0.774,0.63132137031
direct_minmax,bm25,12,1000,731,269,269,1269,0.731,0.576044129236
direct_minmax,bm25,13,1000,767,233,233,1233,0.767,0.622060016221
direct_minmax,bm25,14,1000,368,632,632,1632,0.368,0.225490196078
direct_minmax,bm25,15,1000,477,523,523,1523,0.477,0.313197636244
direct_minmax,bm25,16,1000,632,368,368,1368,0.632,0.461988304094
direct_minmax,bm25,17,1000,806,194,194,1194,0.806,0.675041876047
direct_minmax,bm25,18,1000,815,185,185,1185,0.815,0.68776371308
direct_minmax,bm25,19,1000,630,370,370,1370,0.63,0.459854014599
direct_minmax,bm25,20,1000,812,188,188,1188,0.812,0.683501683502
direct_minmax,bm25,21,1000,655,345,345,1345,0.655,0.486988847584
direct_minmax,bm25,22,1000,793,207,207,1207,0.793,0.6570008285
direct_minmax,bm25,23,1000,752,248,248,1248,0.752,0.602564102564
direct_minmax,bm25,24,1000,719,281,281,1281,0.719,0.561280249805
direct_minmax,bm25,25,1000,744,256,256,1256,0.744,0.592356687898
direct_minmax,bm25,26,1000,778,222,222,1222,0.778,0.636661211129
direct_minmax,bm25,27,1000,882,118,118,1118,0.882,0.788908765653
direct_minmax,bm25,28,1000,831,169,169,1169,0.831,0.710863986313
direct_minmax,bm25,29,1000,759,241,241,1241,0.759,0.611603545528
direct_minmax,bm25,30,1000,720,280,280,1280,0.72,0.5625
direct_minmax,bm25,31,1000,758,242,242,1242,0.758,0.610305958132
direct_minmax,bm25,32,1000,425,575,575,1575,0.425,0.269841269841
direct_minmax,bm25,33,1000,674,326,326,1326,0.674,0.508295625943
direct_minmax,bm25,34,1000,597,403,403,1403,0.597,0.425516749822
direct_minmax,bm25,35,1000,770,230,230,1230,0.77,0.626016260163
direct_minmax,bm25,36,1000,833,167,167,1167,0.833,0.713796058269
direct_minmax,bm25,37,1000,795,205,205,1205,0.795,0.659751037344
direct_minmax,bm25,38,1000,639,361,361,1361,0.639,0.469507714916
direct_minmax,bm25,39,1000,856,144,144,1144,0.856,0.748251748252
direct_minmax,bm25,40,1000,696,304,304,1304,0.696,0.533742331288
direct_minmax,bm25,41,1000,647,353,353,1353,0.647,0.478196600148
direct_minmax,bm25,42,1000,771,229,229,1229,0.771,0.627339300244
direct_minmax,bm25,43,1000,421,579,579,1579,0.421,0.266624445852
direct_minmax,bm25,44,1000,709,291,291,1291,0.709,0.549186676995
direct_minmax,bm25,45,1000,765,235,235,1235,0.765,0.619433198381
direct_minmax,bm25,46,1000,667,333,333,1333,0.667,0.500375093773
direct_minmax,bm25,47,1000,632,368,368,1368,0.632,0.461988304094
direct_minmax,bm25,48,1000,783,217,217,1217,0.783,0.64338537387
direct_minmax,bm25,49,1000,665,335,335,1335,0.665,0.498127340824
direct_minmax,bm25,50,1000,714,286,286,1286,0.714,0.555209953344
uniform_random,bm25,1,20,0,20,20,40,0,0
uniform_random,bm25,2,20,0,20,20,40,0,0
uniform_random,bm25,3,20,0,20,20,40,0,0
uniform_random,bm25,4,20,0,20,20,40,0,0
uniform_random,bm25,5,20,0,20,20,40,0,0
uniform_random,bm25,6,20,0,20,20,40,0,0
uniform_random,bm25,7,20,0,20,20,40,0,0
uniform_random,bm25,8,20,0,20,20,40,0,0
uniform_random,bm25,9,20,0,20,20,40,0,0
uniform_random,bm25,10,20,0,20,20,40,0,0
uniform_random,bm25,11,20,0,20,20,40,0,0
uniform_random,bm25,12,20,0,20,20,40,0,0
uniform_random,bm25,13,20,0,20,20,40,0,0
uniform_random,bm25,14,20,0,20,20,40,0,0
uniform_random,bm25,15,20,0,20,20,40,0,0
uniform_random,bm25,16,20,0,20,20,40,0,0
uniform_random,bm25,17,20,0,20,20,40,0,0
uniform_random,bm25,18,20,0,20,20,40,0,0
uniform_random,bm25,19,20,0,20,20,40,0,0
uniform_random,bm25,20,20,0,20,20,40,0,0
uniform_random,bm25,21,20,0,20,20,40,0,0
uniform_random,bm25,22,20,0,20,20,40,0,0
uniform_random,bm25,23,20,0,20,20,40,0,0
uniform_random,bm25,24,20,0,20,20,40,0,0
uniform_random,bm25,25,20,0,20,20,40,0,0
uniform_random,bm25,26,20,0,20,20,40,0,0
uniform_random,bm25,27,20,1,19,19,39,0.05,0.025641025641
uniform_random,bm25,28,20,0,20,20,40,0,0
uniform_random,bm25,29,20,0,20,20,40,0,0
uniform_random,bm25,30,20,0,20,20,40,0,0
uniform_random,bm25,31,20,0,20,20,40,0,0
uniform_random,bm25,32,20,0,20,20,40,0,0
uniform_random,bm25,33,20,0,20,20,40,0,0
uniform_random,bm25,34,20,0,20,20,40,0,0
uniform_random,bm25,35,20,0,20,20,40,0,0
uniform_random,bm25,36,20,0,20,20,40,0,0
uniform_random,bm25,37,20,0,20,20,40,0,0
uniform_random,bm25,38,20,0,20,20,40,0,0
uniform_random,bm25,39,20,0,20,20,40,0,0
uniform_random,bm25,40,20,0,20,20,40,0,0
uniform_random,bm25,41,20,0,20,20,40,0,0
uniform_random,bm25,42,20,0,20,20,40,0,0
uniform_random,bm25,43,20,0,20,20,40,0,0
uniform_random,bm25,44,20,0,20,20,40,0,0
uniform_random,bm25,45,20,0,20,20,40,0,0
uniform_random,bm25,46,20,0,20,20,40,0,0
uniform_random,bm25,47,20,0,20,20,40,0,0
uniform_random,bm25,48,20,0,20,20,40,0,0
uniform_random,bm25,49,20,0,20,20,40,0,0
uniform_random,bm25,50,20,0,20,20,40,0,0
uniform_random,bm25,1,50,0,50,50,100,0,0
uniform_random,bm25,2,50,0,50,50,100,0,0
uniform_random,bm25,3,50,0,50,50,100,0,0
uniform_random,bm25,4,50,0,50,50,100,0,0
uniform_random,bm25,5,50,0,50,50,100,0,0
uniform_random,bm25,6,50,0,50,50,100,0,0
uniform_random,bm25,7,50,0,50,50,100,0,0
uniform_random,bm25,8,50,0,50,50,100,0,0
uniform_random,bm25,9,50,0,50,50,100,0,0
uniform_random,bm25,10,50,0,50,50,100,0,0
uniform_random,bm25,11,50,0,50,50,100,0,0
uniform_random,bm25,12,50,0,50,50,100,0,0
uniform_random,bm25,13,50,0,50,50,100,0,0
uniform_random,bm25,14,50,0,50,50,100,0,0
uniform_random,bm25,15,50,0,50,50,100,0,0
uniform_random,bm25,16,50,0,50,50,100,0,0
uniform_random,bm25,17,50,0,50,50,100,0,0
uniform_random,bm25,18,50,0,50,50,100,0,0
uniform_random,bm25,19,50,0,50,50,100,0,0
uniform_random,bm25,20,50,0,50,50,100,0,0
uniform_random,bm25,21,50,0,50,50,100,0,0
uniform_random,bm25,22,50,0,50,50,100,0,0
uniform_random,bm25,23,50,0,50,50,100,0,0
uniform_random,bm25,24,50,0,50,50,100,0,0
uniform_random,bm25,25,50,0,50,50,100,0,0
uniform_random,bm25,26,50,0,50,50,100,0,0
uniform_random,bm25,27,50,1,49,49,99,0.02,0.010101010101
uniform_random,bm25,28,50,0,50,50,100,0,0
uniform_random,bm25,29,50,0,50,50,100,0,0
uniform_random,bm25,30,50,0,50,50,100,0,0
uniform_random,bm25,31,50,0,50,50,100,0,0
uniform_random,bm25,32,50,0,50,50,100,0,0
uniform_random,bm25,33,50,0,50,50,100,0,0
uniform_random,bm25,34,50,0,50,50,100,0,0
uniform_random,bm25,35,50,0,50,50,100,0,0
uniform_random,bm25,36,50,0,50,50,100,0,0
uniform_random,bm25,37,50,0,50,50,100,0,0
uniform_random,bm25,38,50,0,50,50,100,0,0
uniform_random,bm25,39,50,0,50,50,100,0,0
uniform_random,bm25,40,50,0,50,50,100,0,0
uniform_random,bm25,41,50,0,50,50,100,0,0
uniform_random,bm25,42,50,0,50,50,100,0,0
uniform_random,bm25,43,50,0,50,50,100,0,0
uniform_random,bm25,44,50,0,50,50,100,0,0
uniform_random,bm25,45,50,0,50,50,100,0,0
uniform_random,bm25,46,50,0,50,50,100,0,0
uniform_random,bm25,47,50,0,50,50,100,0,0
uniform_random,bm25,48,50,0,50,50,100,0,0
uniform_random,bm25,49,50,0,50,50,100,0,0
uniform_random,bm25,50,50,0,50,50,100,0,0
uniform_random,bm25,1,100,0,100,100,200,0,0
uniform_random,bm25,2,100,0,100,100,200,0,0
uniform_random,bm25,3,100,0,100,100,200,0,0
uniform_random,bm25,4,100,0,100,100,200,0,0
uniform_random,bm25,5,100,0,100,100,200,0,0
uniform_random,bm25,6,100,0,100,100,200,0,0
uniform_random,bm25,7,100,0,100,100,200,0,0
uniform_random,bm25,8,100,0,100,100,200,0,0
uniform_random,bm25,9,100,0,100,100,200,0,0
uniform_random,bm25,10,100,0,100,100,200,0,0
uniform_random,bm25,11,100,1,99,99,199,0.01,0.00502512562814
uniform_random,bm25,12,100,0,100,100,200,0,0
uniform_random,bm25,13,100,0,100,100,200,0,0
uniform_random,bm25,14,100,0,100,100,200,0,0
uniform_random,bm25,15,100,0,100,100,200,0,0
uniform_random,bm25,16,100,0,100,100,200,0,0
uniform_random,bm25,17,100,0,100,100,200,0,0
uniform_random,bm25,18,100,0,100,100,200,0,0
uniform_random,bm25,19,100,0,100,100,200,0,0
uniform_random,bm25,20,100,0,100,100,200,0,0
uniform_random,bm25,21,100,0,100,100,200,0,0
uniform_random,bm25,22,100,0,100,100,200,0,0
uniform_random,bm25,23,100,0,100,100,200,0,0
uniform_random,bm25,24,100,0,100,100,200,0,0
uniform_random,bm25,25,100,0,100,100,200,0,0
uniform_random,bm25,26,100,0,100,100,200,0,0
uniform_random,bm25,27,100,1,99,99,199,0.01,0.00502512562814
uniform_random,bm25,28,100,0,100,100,200,0,0
uniform_random,bm25,29,100,0,100,100,200,0,0
uniform_random,bm25,30,100,0,100,100,200,0,0
uniform_random,bm25,31,100,0,100,100,200,0,0
uniform_random,bm25,32,100,0,100,100,200,0,0
uniform_random,bm25,33,100,0,100,100,200,0,0
uniform_random,bm25,34,100,0,100,100,200,0,0
uniform_random,bm25,35,100,0,100,100,200,0,0
uniform_random,bm25,36,100,1,99,99,199,0.01,0.00502512562814
uniform_random,bm25,37,100,0,100,100,200,0,0
uniform_random,bm25,38,100,0,100,100,200,0,0
uniform_random,bm25,39,100,0,100,100,200,0,0
uniform_random,bm25,40,100,0,100,100,200,0,0
uniform_random,bm25,41,100,0,100,100,200,0,0
uniform_random,bm25,42,100,0,100,100,200,0,0
uniform_random,bm25,43,100,0,100,100,200,0,0
uniform_random,bm25,44,100,0,100,100,200,0,0
uniform_random,bm25,45,100,0,100,100,200,0,0
uniform_random,bm25,46,100,0,100,100,200,0,0
uniform_random,bm25,47,100,0,100,100,200,0,0
uniform_random,bm25,48,100,0,100,100,200,0,0
uniform_random,bm25,49,100,0,100,100,200,0,0
uniform_random,bm25,50,100,0,100,100,200,0,0
uniform_random,bm25,1,1000,7,993,993,1993,0.007,0.00351229302559
uniform_random,bm25,2,1000,4,996,996,1996,0.004,0.00200400801603
uniform_random,bm25,3,1000,3,997,997,1997,0.003,0.00150225338007
uniform_random,bm25,4,1000,5,995,995,1995,0.005,0.00250626566416
uniform_random,bm25,5,1000,9,991,991,1991,0.009,0.00452034153692
uniform_random,bm25,6,1000,6,994,994,1994,0.006,0.00300902708124
uniform_random,bm25,7,1000,3,997,997,1997,0.003,0.00150225338007
uniform_random,bm25,8,1000,6,994,994,1994,0.006,0.00300902708124
uniform_random,bm25,9,1000,6,994,994,1994,0.006,0.00300902708124
uniform_random,bm25,10,1000,6,994,994,1994,0.006,0.00300902708124
uniform_random,bm25,11,1000,2,998,998,1998,0.002,0.001001001001
uniform_random,bm25,12,1000,10,990,990,1990,0.01,0.00502512562814
uniform_random,bm25,13,1000,8,992,992,1992,0.008,0.00401606425703
uniform_random,bm25,14,1000,5,995,995,1995,0.005,0.00250626566416
uniform_random,bm25,15,1000,6,994,994,1994,0.006,0.00300902708124
uniform_random,bm25,16,1000,5,995,995,1995,0.005,0.00250626566416
uniform_random,bm25,17,1000,7,993,993,1993,0.007,0.00351229302559
uniform_random,bm25,18,1000,5,995,995,1995,0.005,0.00250626566416
uniform_random,bm25,19,1000,6,994,994,1994,0.006,0.00300902708124
uniform_random,bm25,20,1000,8,992,992,1992,0.008,0.00401606425703
uniform_random,bm25,21,1000,5,995,995,1995,0.005,0.00250626566416
uniform_random,bm25,22,1000,5,995,995,1995,0.005,0.00250626566416
uniform_random,bm25,23,1000,2,998,998,1998,0.002,0.001001001001
uniform_random,bm25,24,1000,7,993,993,1993,0.007,0.00351229302559
uniform_random,bm25,25,1000,3,997,997,1997,0.003,0.00150225338007
uniform_random,bm25,26,1000,3,997,997,1997,0.003,0.00150225338007
uniform_random,bm25,27,1000,5,995,995,1995,0.005,0.00250626566416
uniform_random,bm25,28,1000,5,995,995,1995,0.005,0.00250626566416
uniform_random,bm25,29,1000,6,994,994,1994,0.006,0.00300902708124
uniform_random,bm25,30,1000,5,995,995,1995,0.005,0.00250626566416
uniform_random,bm25,31,1000,2,998,998,1998,0.002,0.001001001001
uniform_random,bm25,32,1000,6,994,994,1994,0.006,0.00300902708124
uniform_random,bm25,33,1000,8,992,992,1992,0.008,0.00401606425703
uniform_random,bm25,34,1000,13,987,987,1987,0.013,0.00654252642174
uniform_random,bm25,35,1000,10,990,990,1990,0.01,0.00502512562814
uniform_random,bm25,36,1000,5,995,995,1995,0.005,0.00250626566416
uniform_random,bm25,37,1000,7,993,993,1993,0.007,0.00351229302559
uniform_random,bm25,38,1000,4,996,996,1996,0.004,0.00200400801603
uniform_random,bm25,39,1000,5,995,995,1995,0.005,0.00250626566416
uniform_random,bm25,40,1000,6,994,994,1994,0.006,0.00300902708124
uniform_random,bm25,41,1000,8,992,992,1992,0.008,0.00401606425703
uniform_random,bm25,42,1000,7,993,993,1993,0.007,0.00351229302559
uniform_random,bm25,43,1000,2,998,998,1998,0.002,0.001001001001
uniform_random,bm25,44,1000,8,992,992,1992,0.008,0.00401606425703
uniform_random,bm25,45,1000,11,989,989,1989,0.011,0.00553041729512
uniform_random,bm25,46,1000,6,994,994,1994,0.006,0.00300902708124
uniform_random,bm25,47,1000,6,994,994,1994,0.006,0.00300902708124
uniform_random,bm25,48,1000,8,992,992,1992,0.008,0.00401606425703
uniform_random,bm25,49,1000,8,992,992,1992,0.008,0.00401606425703
uniform_random,bm25,50,1000,7,993,993,1993,0.007,0.00351229302559
direct_mmr,bm25,1,20,2,18,18,38,0.1,0.0526315789474
direct_mmr,bm25,2,20,2,18,18,38,0.1,0.0526315789474
direct_mmr,bm25,3,20,0,20,20,40,0,0
direct_mmr,bm25,4,20,0,20,20,40,0,0
direct_mmr,bm25,5,20,0,20,20,40,0,0
direct_mmr,bm25,6,20,0,20,20,40,0,0
direct_mmr,bm25,7,20,0,20,20,40,0,0
direct_mmr,bm25,8,20,0,20,20,40,0,0
direct_mmr,bm25,9,20,0,20,20,40,0,0
direct_mmr,bm25,10,20,1,19,19,39,0.05,0.025641025641
direct_mmr,bm25,11,20,0,20,20,40,0,0
direct_mmr,bm25,12,20,0,20,20,40,0,0
direct_mmr,bm25,13,20,0,20,20,40,0,0
direct_mmr,bm25,14,20,1,19,19,39,0.05,0.025641025641
direct_mmr,bm25,15,20,3,17,17,37,0.15,0.0810810810811
direct_mmr,bm25,16,20,1,19,19,39,0.05,0.025641025641
direct_mmr,bm25,17,20,0,20,20,40,0,0
direct_mmr,bm25,18,20,0,20,20,40,0,0
direct_mmr,bm25,19,20,0,20,20,40,0,0
direct_mmr,bm25,20,20,1,19,19,39,0.05,0.025641025641
direct_mmr,bm25,21,20,0,20,20,40,0,0
direct_mmr,bm25,22,20,0,20,20,40,0,0
direct_mmr,bm25,23,20,0,20,20,40,0,0
direct_mmr,bm25,24,20,0,20,20,40,0,0
direct_mmr,bm25,25,20,0,20,20,40,0,0
direct_mmr,bm25,26,20,0,20,20,40,0,0
direct_mmr,bm25,27,20,1,19,19,39,0.05,0.025641025641
direct_mmr,bm25,28,20,0,20,20,40,0,0
direct_mmr,bm25,29,20,0,20,20,40,0,0
direct_mmr,bm25,30,20,0,20,20,40,0,0
direct_mmr,bm25,31,20,0,20,20,40,0,0
direct_mmr,bm25,32,20,0,20,20,40,0,0
direct_mmr,bm25,33,20,0,20,20,40,0,0
direct_mmr,bm25,34,20,1,19,19,39,0.05,0.025641025641
direct_mmr,bm25,35,20,1,19,19,39,0.05,0.025641025641
direct_mmr,bm25,36,20,0,20,20,40,0,0
direct_mmr,bm25,37,20,0,20,20,40,0,0
direct_mmr,bm25,38,20,0,20,20,40,0,0
direct_mmr,bm25,39,20,0,20,20,40,0,0
direct_mmr,bm25,40,20,0,20,20,40,0,0
direct_mmr,bm25,41,20,0,20,20,40,0,0
direct_mmr,bm25,42,20,0,20,20,40,0,0
direct_mmr,bm25,43,20,0,20,20,40,0,0
direct_mmr,bm25,44,20,0,20,20,40,0,0
direct_mmr,bm25,45,20,0,20,20,40,0,0
direct_mmr,bm25,46,20,0,20,20,40,0,0
direct_mmr,bm25,47,20,0,20,20,40,0,0
direct_mmr,bm25,48,20,0,20,20,40,0,0
direct_mmr,bm25,49,20,0,20,20,40,0,0
direct_mmr,bm25,50,20,1,19,19,39,0.05,0.025641025641
direct_mmr,bm25,1,50,4,46,46,96,0.08,0.0416666666667
direct_mmr,bm25,2,50,2,48,48,98,0.04,0.0204081632653
direct_mmr,bm25,3,50,1,49,49,99,0.02,0.010101010101
direct_mmr,bm25,4,50,0,50,50,100,0,0
direct_mmr,bm25,5,50,0,50,50,100,0,0
direct_mmr,bm25,6,50,2,48,48,98,0.04,0.0204081632653
direct_mmr,bm25,7,50,1,49,49,99,0.02,0.010101010101
direct_mmr,bm25,8,50,5,45,45,95,0.1,0.0526315789474
direct_mmr,bm25,9,50,3,47,47,97,0.06,0.0309278350515
direct_mmr,bm25,10,50,1,49,49,99,0.02,0.010101010101
direct_mmr,bm25,11,50,2,48,48,98,0.04,0.0204081632653
direct_mmr,bm25,12,50,2,48,48,98,0.04,0.0204081632653
direct_mmr,bm25,13,50,3,47,47,97,0.06,0.0309278350515
direct_mmr,bm25,14,50,1,49,49,99,0.02,0.010101010101
direct_mmr,bm25,15,50,4,46,46,96,0.08,0.0416666666667
direct_mmr,bm25,16,50,3,47,47,97,0.06,0.0309278350515
direct_mmr,bm25,17,50,0,50,50,100,0,0
direct_mmr,bm25,18,50,0,50,50,100,0,0
direct_mmr,bm25,19,50,0,50,50,100,0,0
direct_mmr,bm25,20,50,1,49,49,99,0.02,0.010101010101
direct_mmr,bm25,21,50,0,50,50,100,0,0
direct_mmr,bm25,22,50,1,49,49,99,0.02,0.010101010101
direct_mmr,bm25,23,50,0,50,50,100,0,0
direct_mmr,bm25,24,50,0,50,50,100,0,0
direct_mmr,bm25,25,50,0,50,50,100,0,0
direct_mmr,bm25,26,50,0,50,50,100,0,0
direct_mmr,bm25,27,50,2,48,48,98,0.04,0.0204081632653
direct_mmr,bm25,28,50,0,50,50,100,0,0
direct_mmr,bm25,29,50,1,49,49,99,0.02,0.010101010101
direct_mmr,bm25,30,50,0,50,50,100,0,0
direct_mmr,bm25,31,50,2,48,48,98,0.04,0.0204081632653
direct_mmr,bm25,32,50,3,47,47,97,0.06,0.0309278350515
direct_mmr,bm25,33,50,0,50,50,100,0,0
direct_mmr,bm25,34,50,2,48,48,98,0.04,0.0204081632653
direct_mmr,bm25,35,50,3,47,47,97,0.06,0.0309278350515
direct_mmr,bm25,36,50,0,50,50,100,0,0
direct_mmr,bm25,37,50,0,50,50,100,0,0
direct_mmr,bm25,38,50,1,49,49,99,0.02,0.010101010101
direct_mmr,bm25,39,50,1,49,49,99,0.02,0.010101010101
direct_mmr,bm25,40,50,0,50,50,100,0,0
direct_mmr,bm25,41,50,3,47,47,97,0.06,0.0309278350515
direct_mmr,bm25,42,50,0,50,50,100,0,0
direct_mmr,bm25,43,50,1,49,49,99,0.02,0.010101010101
